id,report_date,city,state,report_narrative,timestamp,latitude,longitude,altitude,uncertainty
2293,2023-06-01,New york,New york,"Prelim information (INFO) from federal aviation administration (FAA) operations (OPS): new york, ny / unmanned aircraft systems (UAS) sighting/late report 5-31 1548e/new york terminal radar approach control (TRACON) advised, bcs3, toronto, canada (CYYZ)-lga, reported black unmanned aircraft systems (UAS) 200 feet above aircraft (ACFT) while ssw bound at 4,000 feet 7 W lga.No evasive action reported.Nypd aviation unit notified.",2023-05-31T15:48:00Z,40.7589,-73.9215,4200.0,medium
2294,2023-06-01,Bloomington,Indiana,"Prelim information (INFO) from federal aviation administration (FAA) af operations (OPS): bloomington, in / unmanned aircraft systems (UAS) sighting/1228e/hulman airport traffic control tower (ATCT) advised, piper p32r, reported a unmanned aircraft systems (UAS) 300 feet below aircraft (ACFT) from the 11 of the clock position while northwest (NW) bound at 8,000 feet 16 wnw hoosier vor collocated with tacan (VORTAC) (OOM).No evasive action taken.Indiana state pd notified.",2023-06-01T12:28:00Z,39.4167,-87.25,7700.0,medium
2295,2023-06-01,Medina,Ohio,"Prelim information (INFO) from federal aviation administration (FAA) operations (OPS): medina, oh / unmanned aircraft systems (UAS) sighting/1243e/cleveland terminal radar approach control (TRACON) advised, rockwell ac11, reported a silver unmanned aircraft systems (UAS) from the 12 of the clock position while ese bound at 3,000 feet 5 ese medina (1g5).No evasive action taken.Fbi notified.",2023-06-01T12:43:00Z,41.0833,-81.7667,3000.0,medium
2296,2023-06-01,Chicago/waukegan,Illinois,"Prelim information (INFO) from federal aviation administration (FAA) operations (OPS): chicago / waukegan, il / unmanned aircraft systems (UAS) sighting/1308c/chicago artcc advised, crj2, ord-msp, reported a white quadcopter unmanned aircraft systems (UAS) from the 3 of the clock position while N bound at 13,000 feet over ugn airport (ARPT).No evasive action taken.Waukegan pd notified.",2023-06-01T13:08:00Z,42.4224,-87.8679,13000.0,medium
2297,2023-06-01,Morristown,New jersey,"Prelim information (INFO) from federal aviation administration (FAA) af operations (OPS): morristown, nj / unmanned aircraft systems (UAS) sighting/1626e/morristown airport traffic control tower (ATCT) advised, gulfstream glf5, fty-mmu, reported a black unmanned aircraft systems (UAS) while nne bound at 3,000 feet 4 northwest (NW) mmu.No evasive action taken.New jersey state pd notified.",2023-06-01T16:26:00Z,40.8651,-74.4795,3000.0,medium
2298,2023-06-01,Las vegas,Nevada,"Prelim information (INFO) from federal aviation administration (FAA) operations (OPS): las vegas, nv / unmanned aircraft systems (UAS) sighting/1330p/north las vegas airport traffic control tower (ATCT) advised, cirrus sf50, vgt-myf, reported a white unmanned aircraft systems (UAS) while wsw bound at 4,000 feet 8 northwest (NW) las.No evasive action taken. Las vegas metropolitan (METRO) pd notified.",2023-06-01T13:30:00Z,36.2807,-115.3172,4000.0,medium
2299,2023-06-01,Raleigh/durham,North carolina,"Prelim information (INFO) from federal aviation administration (FAA) operations (OPS): raleigh-durham, nc / unmanned aircraft systems (UAS) sighting/1800e/raleigh-durham airport traffic control tower (ATCT) advised, beech be58, rdu-rdu, reported a white unmanned aircraft systems (UAS) 500 feet below aircraft (ACFT) while se bound at 2,000 feet 6 northwest (NW) rdu.No evasive action taken.Durham pd notified.",2023-06-01T18:00:00Z,35.9333,-78.8667,1500.0,medium
2300,2023-06-01,Bridgeport,Connecticut,"Prelim information (INFO) from federal aviation administration (FAA) operations (OPS): bridgeport, ct / unmanned aircraft systems (UAS) sighting/1739e/bridgeport airport traffic control tower (ATCT) advised, agusta uh1, reported a unmanned aircraft systems (UAS) at the 9 of the clock position while W bound at 2,000 feet 4 W bdr.No evasive action taken.Bridgeport pd notified.",2023-06-01T17:39:00Z,41.1631,-73.2061,2000.0,medium
2301,2023-06-01,New york,New york,"Prelim information (INFO) from federal aviation administration (FAA) operations (OPS): new york, ny / unmanned aircraft systems (UAS) sighting/1845e/new york terminal radar approach control (TRACON) advised, beechcraft be36, reported a unmanned aircraft systems (UAS) at 1,500 feet 7 N lga.No evasive action reported. Pilot reported unmanned aircraft systems (UAS) was near van cortlandt park.Nypd aviation unit notified.",2023-06-01T18:45:00Z,40.8561,-73.8713,1500.0,medium
2302,2023-06-01,Salt lake city,Utah,"Prelim information (INFO) from federal aviation administration (FAA) operations (OPS): salt lake city, ut / unmanned aircraft systems (UAS) sighting/2224m/salt lake city airport traffic control tower (ATCT) advised, e75l, sea-slc, reported possible unmanned aircraft systems (UAS) with red and green lights at same altitude from the 9 of the clock position while sse bound at 7,500 feet 1 nnw slc.No evasive action reported. Slc airport (ARPT) operations (OPS) notified.",2023-06-01T22:24:00Z,40.8089,-111.9894,7500.0,medium
